id,name,population,area,lat,lon
1508,Ipolyszog,556,607,48.0546,19.2318
1526,Somoskoujfalu,2034,519,48.1618,19.8242
2015,Rackeresztur,3427,3530,47.2739,18.834
2024,Martonyi,366,1757,48.4689,20.7656
2033,Kakasd,1621,2078,46.3463,18.5927
2042,Narda,484,1035,47.2375,16.4612
2051,Savoly,440,2684,46.5914,17.2693
2060,Gonyu,3080,2163,47.7331,17.8279
2079,Dunaremete,252,436,47.8766,17.4371
2088,Mand,270,517,47.9984,22.6082
2097,Gutorfolde,902,2485,46.6413,16.7365
2103,Maroc,60,516,46.5484,16.6652
2121,Csanadalberti,428,1532,46.3259,20.7083
2130,Mihalyfa,318,1207,46.9801,17.1907
2149,Fokto,1552,3146,46.529,18.9193
2158,Muhi,459,962,47.9796,20.9289
2167,Komadi,5078,14465,47.0013,21.4899
2185,Csopak,1795,2398,46.9735,17.929
2194,Nemesvamos,2845,4078,47.0549,17.8718
2200,Isztimer,922,5388,47.2784,18.196
2219,Balatonfuzfo,4453,925,47.062,18.041
2228,Martonfa,206,569,46.1163,18.3731
2237,Vag,452,1403,47.4462,17.2112
2246,Vat,691,2327,47.283,16.7758
2264,Vasarosdombo,1048,1174,46.3055,18.1323
2273,Abaujvar,217,735,48.526,21.3146
2282,Hejokurt,270,1491,47.8556,20.9929
2291,Tiszababolna,328,3269,47.6868,20.8118
2307,Kaba,5584,9504,47.3576,21.2743
2316,Etyek,4136,5327,47.4449,18.7505
2325,Baktaloranthaza,3885,3524,47.9994,22.0794
2343,Kincsesbanya,1383,1087,47.2645,18.2739
2352,Ujkigyos,4897,5492,46.5952,21.0249
2361,Nagybajcs,996,765,47.7645,17.6869
2370,Rad,1952,1774,47.7921,19.2194
2389,Bercel,1861,3590,47.8698,19.4035
2404,Surd,584,2194,46.3198,16.9689
2413,Kisbabot,235,610,47.5559,17.4173
2422,Hegyesd,150,1105,46.9159,17.5221
2431,Buk,3624,2086,47.3834,16.7533
2440,Szatta,65,601,46.7989,16.4804
2459,Vajta,799,2343,46.718,18.6649
2468,Hegymeg,109,570,48.331,20.8614
2477,Csombard,231,899,46.4521,17.6721
2486,Zalacseb,465,963,46.8582,16.6602
2495,Nagycenk,2251,1945,47.6034,16.6977
2501,Kisunyom,428,1000,47.1471,16.6415
2510,Kocs,2517,5829,47.6055,18.2132
2529,Varfolde,185,1487,46.5554,16.7614
2547,Sumony,419,2021,45.9686,17.9163
2556,Morichida,821,3230,47.5151,17.4203
2565,Dobrokoz,1922,4313,46.4241,18.2393
2574,Kenez,276,717,47.2025,16.7884
2583,Csesztreg,802,2300,46.7168,16.5152
2608,Zalaszentivan,1055,1310,46.8918,16.8972
2617,Sopronnemeti,300,710,47.5364,17.2073
2626,Martfu,6030,2308,47.0186,20.2814
2635,Otteveny,3061,2366,47.725,17.4885
2644,Alibanfa,401,584,46.8846,16.921
2653,Nagyharsany,1399,2601,45.8474,18.3998
2662,Milejszeg,349,908,46.7888,16.742
2671,Kantorjanosi,2030,4162,47.9359,22.1489
2680,Bekesszentandras,3436,7745,46.8717,20.4851
2699,Sarkeszi,612,1479,47.1582,18.2859
2705,Palmonostora,1788,5328,46.6264,19.9444
2714,Totvazsony,1309,4251,47.0083,17.7874
2723,Saregres,716,2616,46.7815,18.5973
2741,Faj,462,1932,48.4212,21.0764
2750,Vertesacsa,1753,3619,47.3744,18.5797
2769,Tapioszolos,2781,3181,47.2958,19.8338
2778,Ludanyhalaszi,1379,2113,48.1347,19.5243
2787,Nemesgulacs,930,835,46.8348,17.4834
2796,Nak,512,2778,46.4773,18.0515
2802,Enying,6615,8278,46.9269,18.245
